OriginalListPrice,ListingKey,CloseDate,ClosePrice,ListAgentFirstName,ListAgentLastName,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,BuyerOfficeName,CoListOfficeName,ListAgentFullName,CoListAgentFirstName,CoListAgentLastName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,FireplacesTotal,AssociationFeeFrequency,AboveGradeFinishedArea,ListingKeyNumeric,MLSAreaMajor,TaxAnnualAmount,CountyOrParish,PropertyType,MlsStatus,ElementarySchool,ListAgentFirstName,AttachedGarageYN,ParkingTotal,BuilderName,PropertySubType,LotSizeAcres,SubdivisionName,BuyerOfficeAOR,YearBuilt,DaysOnMarket,StreetNumberNumeric,LivingArea,ListingId,BathroomsTotalInteger,City,TaxYear,BuildingAreaTotal,BedroomsTotal,ContractStatusChangeDate,Longitude,ElementarySchoolDistrict,CoBuyerAgentFirstName,PurchaseContractDate,ListingContractDate,BelowGradeFinishedArea,BusinessType,Latitude,ListPrice,StateOrProvince,CoveredSpaces,MiddleOrJuniorSchool,FireplaceYN,Stories,HighSchool,Levels,ListAgentLastName,CloseDate,LotSizeDimensions,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,BuyerOfficeName,AssociationFee,LotSizeSquareFeet,MiddleOrJuniorSchoolDistrict,UnparsedAddress
1680000.0,1155885525,,,Shumin,Wu,33.711338,-117.748459,63 Darby,Residential,1753.0,1680000.0,0,AG One Realty Inc.,,AG One Realty,Shumin Wu,Janie,Zou,,,,,Monthly,,1155885525,EASTW - Eastwood,,Orange,Residential,Active,,Shumin,True,2.0,,Condominium,0.3996,Petaluma (EVPET),,2017,0,63,1753.0,TR26064852,3,Irvine,,,3,2026-02-26,-117.748459,,,,2026-02-26,,,33.711338,1680000.0,CA,,,False,2,,Two,Wu,,,17407.0,0,False,2.0,Irvine Unified,92620,,150.0,17407.0,,63 Darby
80000.0,1155884475,,,Simon,Van Meervenne,34.123995,-118.601531,0 Canon Dr,Land,,80000.0,27,Snyder Sutton Real Estate,,,Simon Van Meervenne,,,,,,,,,1155884475,TOP - Topanga,,Los Angeles,Land,Active,,Simon,,0.0,,,0.2131,,,,27,0,,26669565,0,Topanga,,,,2026-02-26,-118.601531,,,,2026-02-26,,,34.123995,80000.0,CA,,,,,,,Van Meervenne,,,9282.0,,False,,,90290,,,9282.0,,0 Canon Dr
1295000.0,1155880083,,,Julie,Han,32.754844,-117.162018,4257 3rd Ave. 105,Residential,1317.0,1295000.0,0,Compass,,,Julie Han,,,,,,,Monthly,,1155880083,92103 - Mission Hills,,San Diego,Residential,ComingSoon,,Julie,True,2.0,,Townhouse,12.0,,,2009,0,4257,1317.0,NDP2602823,2,San Diego,,,2,2026-03-26,-117.162018,,,,2026-02-12,,,32.754844,1295000.0,CA,,,False,2,,Two,Han,,,12.0,0,,2.0,San Diego Unified,92103,,560.0,522720.0,,4257 3rd Ave. 105
599000.0,1155878924,,,Rhonda,Cudeback,33.846885,-118.189492,309 E Silva Street,Residential,824.0,599000.0,0,Keller Williams Pacific Estate,,,Rhonda Cudeback,,,,,,,,,1155878924,7 - North Long Beach,,Los Angeles,Residential,Active,,Rhonda,True,1.0,,SingleFamilyResidence,0.0517,North Long Beach (NLB),,1956,0,309,824.0,PW26051542,1,Long Beach,,,2,2026-02-23,-118.189492,,,,2026-02-23,,,33.846885,599000.0,CA,,,False,1,,One,Cudeback,,,2250.0,2,False,1.0,Long Beach Unified,90805,,0.0,2250.0,,309 E Silva Street
699000.0,1155878603,,,Frances,Mouser,33.587219,-117.17779,27636 Brentstone Way,Residential,2315.0,699000.0,0,"eXp Realty of California, Inc",,"eXp Realty of California, Inc.",Frances Mouser,Kristin,Beneventi,,,,,,,1155878603,SRCAR - Southwest Riverside County,,Riverside,Residential,Active,,Frances,True,6.0,,SingleFamilyResidence,0.19,,,2003,0,27636,2315.0,NDP2602822,3,Murrieta,,,4,2026-02-16,-117.17779,,,,2026-02-16,,,33.587219,699000.0,CA,,,True,1,,One,Mouser,,,0.19,4,,3.0,Murrieta,92563,,0.0,8276.4,,27636 Brentstone Way
1250000.0,1155878531,2026-03-24,1250000.0,Marcel,Bonee,33.16223813,-117.2601609,5086 Corinthia Way,Residential,1807.0,1250000.0,0,Mission Realty Group,Allison James Estates & Homes,,Marcel Bonee,,,108878,TK,Smith,,Monthly,,1155878531,92056 - Oceanside,,San Diego,Residential,Closed,,Marcel,,4.0,,Townhouse,0.0989,,,1987,0,5086,1807.0,260006981SD,2,Oceanside,,,2,2026-03-24,-117.2601609,,,2026-03-02,2026-02-27,,,33.16223813,1250000.0,CA,,,True,2,,Two,Bonee,2026-03-24,,4309.0,,False,2.0,,92056,Allison James Estates & Homes,755.0,4309.0,,5086 Corinthia Way
27000.0,1155877325,,,Georgie,Fenton,33.605898,-117.89362,203 Sapphire,ResidentialLease,2347.0,27000.0,0,Coldwell Banker Realty,,,Georgie Fenton,,,,,,,,,1155877325,N9 - Lower Newport Bay - Balboa Island,,Orange,ResidentialLease,Active,,Georgie,True,2.0,,SingleFamilyResidence,0.0585,Balboa Island - Main Island (BALM),,2019,0,203,2347.0,OC26031840,4,Newport Beach,,,3,2026-02-05,-117.89362,,,,2026-02-05,,,33.605898,27000.0,CA,,,True,2,Corona Del Mar,Two,Fenton,,,2550.0,0,False,2.0,Newport Mesa Unified,92662,,0.0,2550.0,,203 Sapphire
699000.0,1155873898,,,Ryan,Caron,32.696978,-117.009878,8773 Leigh Ave,Residential,1189.0,699000.0,0,Real Broker,,Real Broker,Ryan Caron,Danielle,Caron,,,,,,,1155873898,91977 - Spring Valley,,San Diego,Residential,Active,,Ryan,True,2.0,,SingleFamilyResidence,0.1331,,,1967,0,8773,1189.0,PTP2602258,2,Spring Valley,,,3,2026-02-19,-117.009878,,,,2026-02-19,,,32.696978,699000.0,CA,,,False,1,,One,Caron,,,5800.0,,,2.0,Sweetwater Union,91977,,0.0,5800.0,,8773 Leigh Ave
2899000.0,1155873726,,,Rob,Depaoli,33.893323,-118.411866,448 23rd,Residential,1837.0,2899000.0,0,Compass,,Vista Sotheby¡¯s International Realty,Rob Depaoli,Barry,Host,,,,,,,1155873726,142 - Manhattan Bch Sand,,Los Angeles,Residential,Active,Grand View,Rob,True,3.0,,Townhouse,0.0623,,,2000,0,448,1837.0,SB26063819,4,Manhattan Beach,,,3,2026-02-13,-118.411866,,,,2026-02-13,,,33.893323,2899000.0,CA,,Manhattan Beach,True,,Mira Costa,ThreeOrMore,Depaoli,,,2715.0,2,False,2.0,Manhattan Unified,90266,,0.0,2715.0,,448 23rd
399000.0,1155871031,,,Annette,Garten,39.529567,-121.567992,6 Orangewood,ResidentialIncome,,399000.0,0,LPT Realty,,,Annette Garten,,,,,,,,,1155871031,,,Butte,ResidentialIncome,Active,,Annette,,2.0,,Duplex,0.16,,,1980,0,6,,SN26048645,,Oroville,,2032.0,,2026-02-23,-121.567992,,,,2026-02-23,,,39.529567,399000.0,CA,,,True,1,,One,Garten,,,6970.0,,False,1.0,,95965,,0.0,6970.0,,6 Orangewood
